"","time"
"1234",26050
"1235",26652
"1236",27887
"1237",28489
"1238",29209
"1239",30249
"1240",31242
"1241",31846
"1242",32481
"1243",33082
"1244",33684
"1245",4823
"1246",6838
"1247",7442
"1248",8217
"1249",9050
"1250",9715
"1251",10318
"1252",10919
"1253",13644
"1254",14555
"1255",26978
"1256",27609
"1257",28263
"1258",28865
"1259",29864
"1260",30539
"1261",31141
"1262",34578
"1263",35323
"1264",3993
"1265",6858
"1266",7701
"1267",9746
"1268",10349
"1269",12181
"1270",13180
"1271",14278
"1272",14879
"1273",15481
"1274",17185
"1275",17892
"1276",18567
"1277",21485
"1278",22965
"1279",23567
"1280",24169
"1281",26343
"1282",27377
"1283",28042
"1284",28816
"1285",29422
"1286",30769
"1287",31392
"1288",31993
"1289",32595
"1290",33620
"1291",35376
"1292",2110
"1293",4233
"1294",4837
"1295",6249
"1296",7115
"1297",8265
"1298",9728
"1299",10329
"1300",11415
"1301",12449
"1302",13052
"1303",13653
"1304",14255
"1305",14858
"1306",15460
"1307",16071
"1308",18200
"1309",18889
"1310",19883
"1311",21365
"1312",23180
"1313",23785
"1314",24693
"1315",25294
"1316",26067
"1317",26831
"1318",27435
"1319",28036
"1320",28949
"1321",29567
"1322",2533
"1323",5078
"1324",9522
"1325",10124
"1326",10726
"1327",11328
"1328",12085
"1329",12844
"1330",13487
"1331",14516
"1332",15212
"1333",21437
"1334",26105
"1335",26976
"1336",27579
"1337",28287
"1338",29542
"1339",8900
"1340",9503
"1341",12732
"1342",13403
"1343",14005
"1344",14607
"1345",15262
"1346",15865
"1347",19692
"1348",20293
"1349",21554
"1350",22156
"1351",22758
"1352",23360
"1353",24590
"1354",25571
"1355",28376
"1356",29589
"1357",30247
"1358",30961
"1359",31686
"1360",33685
"1361",3472
"1362",4074
"1363",4676
"1364",5283
"1365",5916
"1366",7149
"1367",7829
"1368",8479
"1369",9081
"1370",9889
"1371",10915
"1372",11518
"1373",13258
"1374",13860
"1375",15252
"1376",15855
"1377",16458
"1378",17063
"1379",18236
"1380",19589
"1381",20192
"1382",22085
"1383",24875
"1384",25479
"1385",26987
"1386",27590
"1387",29585
"1388",32158
"1389",32760
"1390",33384
"1391",34004
"1392",34606
"1393",35351
"1394",8733
"1395",9439
"1396",10841
"1397",11442
"1398",12044
"1399",13923
"1400",14527
"1401",15128
"1402",15731
"1403",16333
"1404",18096
"1405",19280
"1406",19882
"1407",20486
"1408",21087
"1409",21689
"1410",23291
"1411",23892
"1412",24494
"1413",25708
"1414",26389
"1415",26991
"1416",29425
"1417",30097
"1418",32344
"1419",33689
"1420",35564
"1421",2547
"1422",4778
"1423",5614
"1424",18233
"1425",18905
"1426",19507
"1427",20734
"1428",21336
"1429",22057
"1430",22659
"1431",25613
"1432",26218
"1433",27048
"1434",27652
"1435",28255
"1436",29227
"1437",18182
"1438",20488
"1439",21090
"1440",22419
"1441",23021
"1442",23623
"1443",24225
"1444",24827
"1445",26366
"1446",27483
"1447",28806
"1448",29702
"1449",31424
"1450",32140
"1451",32741
"1452",33366
"1453",7665
"1454",8267
"1455",10515
"1456",11163
"1457",26220
"1458",26823
"1459",27521
