SampleSize,Set,Memory_Percentage,Failure_Percentage
90,7,0.730769,0.05
90,7,0.85,0
90,7,0.777778,0
90,7,0.805556,0
90,7,0.814815,0
90,7,0.5,0
90,7,0.9375,0
90,7,0.764706,0.037037
90,7,0.5,0.2
90,7,0.75,0
90,7,0.8,0.0769231
90,7,0.705882,0.04
90,7,0.95,0
90,7,0.875,0
90,7,0.909091,0
90,7,0.923077,0
90,7,0.75,0
90,7,0.833333,0.0384615
90,7,0.8,0
90,7,0.852941,0
90,7,0.8125,0.0714286
90,7,0.863636,0
90,7,0.92,0
90,7,0.814815,0.0434783
90,7,0.825,0
90,7,0.875,0
90,7,0.705882,0.0769231
90,7,0.814815,0.0833333
90,7,0.794118,0
90,7,0.666667,0
90,7,0.789474,0.0625
90,7,0.870968,0.0357143
90,7,0.794118,0
90,7,0.916667,0
90,7,0.75,0
90,7,0.780488,0.030303
90,7,0.777778,0
90,7,0.83871,0
90,7,0.8,0
90,7,0.888889,0
90,7,0.914286,0.030303
90,7,0.8,0.04
90,7,0.868421,0
90,7,0.777778,0.0454545
90,7,0.791667,0
90,7,0.828571,0.0333333
90,7,0.666667,0
90,7,0.914286,0
90,7,0.76,0
90,7,0.78125,0.0384615
90,7,0.740741,0
90,7,0.833333,0.0740741
90,7,0.814815,0
90,7,0.9,0
90,7,0.869565,0
90,7,0.685714,0
90,7,0.8,0
90,7,0.666667,0.25
90,7,0.785714,0
90,7,0.84,0
90,7,0.625,0
90,7,0.724138,0
90,7,0.8,0.989019
90,7,0.8,0.111111
90,7,0.84,0
90,7,0.833333,0
90,7,0.833333,0
90,7,0.861111,0
90,7,0.894737,0
90,7,0.8,0
90,7,0.866667,0
90,7,0.823529,0
90,7,0.909091,0
90,7,0.76,0
90,7,0.694444,0.107143
90,7,1,0
90,7,0.724138,0.0454545
90,8,0.75,0
90,8,0.923077,0
90,8,0.862069,0
90,8,0.878788,0
90,8,0.785714,0
90,8,0.916667,0
90,8,0.807692,0
90,8,0.823529,0
90,8,0.794118,0
90,8,0.862069,0
90,8,0.764706,0
90,8,0.884615,0.0416667
90,8,0.833333,0.0384615
90,8,0.9375,0
90,8,0.8,0
90,8,0.896552,0
90,8,0.857143,0
90,8,0.787879,0.133333
90,8,0.852941,0
90,8,0.909091,0
90,8,0.863636,0.05
90,8,0.793103,0.08
90,8,0.794118,0
90,8,0.833333,0
90,8,0.772727,0
90,8,0.9,0.027027
90,8,0.864865,0
90,8,0.884615,0.0416667
90,8,1,0
90,8,0.75,0.0454545
90,8,0.772727,0
90,8,0.884615,0
90,8,0.882353,0.0322581
90,8,0.821429,0.0416667
90,8,0.916667,0
90,8,0.916667,0
90,8,0.842105,0.030303
90,8,0.852941,0.0333333
90,8,0.818182,0
90,8,0.9375,0.0625
90,8,0.84375,0.0357143
90,8,NA,NA
90,8,0.818182,0
90,8,0.807692,0
90,8,0.826087,0
90,8,0.878788,0.0333333
90,8,0.826087,0
90,8,0.944444,0
90,8,0.863636,0
90,8,0.947368,0
90,8,0.757576,0
90,8,0.923077,0
90,8,0.827586,0
90,8,0.9,0
90,8,0.810811,0
90,8,0.833333,0
90,8,0.833333,0.0384615
90,8,0.833333,0.0384615
90,8,0.631579,0
90,8,0.807692,0
90,8,1,0
90,8,0.75,0
90,8,0.8,0
90,8,0.871795,0
90,8,0.83871,0
90,8,0.736842,0
90,8,0.833333,0.0909091
90,8,0.8,0
90,8,0.884615,0
90,8,0.85,0
90,8,0.88,0
90,8,0.857143,0
90,8,0.896552,0
90,8,0.833333,0
90,8,0.833333,0
90,8,0.833333,0
90,8,1,0
90,8,0.75,0.0454545
90,8,0.863636,0
90,8,0.75,0.0526316
90,8,0.870968,0
90,8,0.846154,0
90,8,0.833333,0
90,8,0.666667,0
90,8,0.695652,0.111111
90,8,0.9,0
90,8,0.871795,0
90,8,0.793103,0
90,8,0.769231,0
90,8,0.8,0.0344828
90,9,0.888889,0
90,9,0.861111,0
90,9,0.793103,0
90,9,0.8,0.0344828
90,9,0.857143,0.0526316
90,9,0.857143,0.04
90,9,0.793103,0
90,9,0.806452,0
90,9,0.846154,0
90,9,0.833333,0.047619
90,9,0.794872,0.03125
90,9,0.9375,0
90,9,0.785714,0
90,9,0.928571,0
90,9,1,0
90,9,0.771429,0.0689655
90,9,0.846154,0
90,9,0.851852,0
90,9,0.84375,0.0357143
90,9,0.6,0.25
90,9,0.791667,0
90,9,0.871795,0.0285714
90,9,0.6,0.142857
90,9,0.851852,0
90,9,0.9,0
90,9,0.764706,0.037037
90,9,0.806452,0
90,9,0.916667,0
90,9,0.95,0.05
90,9,0.9,0
90,9,0.78125,0.0740741
90,9,0.857143,0
90,9,0.84375,0
90,9,NA,NA
90,9,0.695652,0.0588235
90,9,0.866667,0.037037
90,9,0.90625,0
90,9,0.85,0
90,9,0.769231,0
90,9,0.73913,0
90,9,0.787879,0
90,9,0.794118,0.0357143
90,9,0.793103,0
90,9,0.740741,0.259259
90,9,0.833333,0
90,9,0.758621,0.0434783
90,9,0.84375,0
90,9,0.705882,0
90,9,0.785714,0
90,9,0.882353,0
90,9,0.821429,0
90,9,0.857143,0
90,9,0.5,0
90,9,0.903226,0
90,9,0.722222,0.0714286
90,9,0.736842,0
90,9,0.736842,0.0666667
90,9,NA,NA
90,9,0.933333,0
90,9,0.722222,0
90,9,0.6,0.142857
90,9,0.857143,0
90,9,0.83871,0
90,9,0.833333,0.047619
90,9,0.736842,0.0666667
90,9,0.777778,0
90,9,0.862069,0.0384615
90,9,0.846154,0.0434783
90,9,0.85,0
90,9,0.758621,0.0434783
90,9,0.846154,0
90,9,0.837838,0
90,9,0.914286,0
90,9,0.8,0
90,9,0.809524,0
90,9,0.851852,0
90,9,0.75,0.04
90,9,0.833333,0
90,9,1,0
90,9,0.818182,0
90,9,0.870968,0
90,9,0.727273,0
90,9,0.870968,0.0357143
90,9,0.833333,0
90,9,0.823529,0.0344828
90,9,NA,NA
90,9,0.862069,0
90,9,0.911765,0.03125
90,9,0.863636,0
90,9,0.84375,0
90,10,0.736842,0.0666667
90,10,0.764706,0
90,10,1,0
90,10,0.809524,0
90,10,0.833333,0
90,10,0.827586,0.0769231
90,10,0.857143,0
90,10,0.75,0
90,10,0.782609,0
90,10,0.862069,0
90,10,0.869565,0.047619
90,10,0.818182,0
90,10,0.8,0
90,10,0.827586,0
90,10,NA,NA
90,10,0.714286,0
90,10,1,0
90,10,0.730769,0
90,10,0.923077,0
90,10,0.882353,0.0322581
90,10,0.896552,0
90,10,0.8,0.030303
90,10,0.826087,0
90,10,1,0
90,10,0.727273,0
90,10,0.806452,0
90,10,0.78125,0
90,10,0.8,0
90,10,0.782609,0.0526316
90,10,0.777778,0
90,10,0.757576,0.0384615
90,10,0.818182,0
90,10,0.875,0
90,10,0.833333,0
90,10,0.864865,0.0588235
90,10,0.818182,0.0357143
90,10,0.818182,0
90,10,0.772727,0
90,10,0.914286,0.030303
90,10,0.884615,0
90,10,0.75,0
90,10,0.866667,0.037037
90,10,0.777778,0.0454545
90,10,0.8125,0
90,10,0.852941,0
90,10,0.827586,0
90,10,0.6,0
90,10,0.846154,0.0294118
90,10,0.833333,0
90,10,0.6,0
90,10,0.85,0
90,10,0.8,0
90,10,0.76,0.05
90,10,0.857143,0.04
90,10,0.78125,0.0740741
90,10,0.722222,0
90,10,0.909091,0
90,10,0.857143,0
90,10,0.909091,0.0909091
90,10,0.695652,0
90,10,0.774194,0
90,10,0.891892,0
90,10,0.885714,0
90,10,0.846154,0
90,10,0.730769,0
90,10,0.818182,0
90,10,0.837838,0
90,10,0.807692,0
90,10,0.666667,0
90,10,0.888889,0
90,10,0.84375,0
90,10,0.848485,0
90,10,0.862069,0
90,10,0.764706,0
90,10,0.857143,0
90,10,0.842105,0
90,10,0.833333,0
90,10,0.730769,0
90,10,0.941176,0
