"","time","fault","ClassPer"
"718",12708,NA,96.9758
"719",14201,100,100
"720",14805,NA,99.6672
"721",15406,NA,75.2506
"722",16008,NA,87.3812
"723",16651,NA,81.0103
"724",18233,NA,98.5065
"725",19332,NA,95.27
"726",20029,NA,75.6782
"727",20631,NA,99.486
"728",21233,NA,89.9287
"729",22718,NA,96.9773
"730",23320,NA,99.8289
"731",23923,NA,91.3012
"732",25993,100,100
"733",26743,NA,99.3339
"734",27344,NA,85.2183
"735",28463,NA,83.5227
"736",29589,NA,75.1855
"737",30422,NA,97.5996
"738",31023,NA,83.4886
"739",31966,NA,75.3316
"740",35370,NA,99.7783
"741",35972,NA,99.8288
"742",7888,NA,99.8335
"743",9286,NA,99.5012
"744",11413,NA,99.8335
"745",12228,NA,98.1777
"746",13060,NA,71.4286
"747",13664,NA,99.5012
"748",14655,100,100
"749",15257,NA,71.8512
"750",15860,100,100
"751",17137,NA,85.5922
"752",19122,NA,98.4013
"753",19724,NA,96.9299
"754",20509,NA,76.1023
"755",21111,NA,96.5968
"756",22184,NA,84.5154
"757",22980,NA,83.805
"758",23581,NA,70.4278
"759",24183,NA,89.2858
"760",25183,NA,98.6684
"761",25784,NA,98.6409
"762",27030,NA,91.3708
"763",27634,100,100
"764",28453,NA,84.5154
"765",29119,100,100
"766",29899,100,100
"767",30541,NA,92.4008
"768",31143,NA,83.4888
"769",31945,NA,90.462
"770",32547,NA,95.0975
"771",33149,NA,97.5824
"772",34917,NA,91.594
"773",35519,NA,98.507
"774",11067,100,100
"775",15950,NA,98.9247
"776",19936,NA,81.6876
"777",21297,NA,73.634
"778",21899,NA,83.666
"779",22876,NA,80.7237
"780",23477,NA,95.4908
"781",24079,NA,90.1997
"782",24905,NA,94.1506
"783",25506,NA,99.3174
"784",27324,NA,84.5154
"785",27939,NA,99.0005
"786",28541,NA,99.6579
"787",29145,NA,99.5001
"788",29749,NA,99.6667
"789",30920,NA,99.8128
"790",31521,NA,96.1963
"791",35601,NA,82.4673
"792",5378,NA,99.7783
"793",5980,NA,79.4943
"794",6582,NA,85.2512
"795",8312,NA,99.5012
"796",9097,NA,97.183
"797",9698,NA,75.397
"798",10672,NA,98.9247
"799",14053,NA,99.8335
"800",15288,NA,96.8633
"801",15929,NA,99.4401
"802",16530,NA,89.3716
"803",17158,NA,98.4673
"804",17833,NA,87.9708
"805",18478,NA,94.9668
"806",19079,NA,88.6357
"807",20276,NA,99.7783
"808",20945,NA,82.2219
"809",24248,NA,99.7783
"810",24850,NA,87.5205
"811",25813,NA,99.3339
"812",27741,NA,76.5386
"813",28382,NA,99.8335
"814",29028,NA,99.8335
"815",29629,NA,86.7852
"816",30232,NA,98.4077
"817",30890,NA,92.3086
"818",31511,NA,97.7865
"819",32282,NA,79.2386
"820",32952,NA,91.9487
"821",33553,NA,91.3548
"822",35164,100,100
"823",35840,NA,90.0488
"824",3702,NA,83.8664
"825",4955,100,100
"826",8133,NA,98.0022
"827",9473,NA,76.0618
"828",10315,NA,99.486
"829",10917,NA,98.4736
"830",11709,100,100
"831",12420,NA,99.1668
"832",13097,NA,98.6672
"833",14319,NA,98.9285
"834",15102,NA,71.4446
"835",16499,NA,91.7239
"836",17501,NA,96.6423
"837",18123,NA,97.7727
"838",18724,NA,83.2735
"839",19326,NA,92.0355
"840",25475,NA,88.0973
"841",26646,NA,84.5154
"842",27256,NA,98.8334
"843",28502,NA,84.5154
"844",29500,100,100
"845",30247,NA,97.2046
"846",30927,NA,88.9433
"847",31762,NA,98.8792
"848",32363,NA,95.8442
"849",32965,NA,97.8345
"850",34259,NA,74.7859
"851",4014,NA,76.1585
"852",4615,NA,85.8511
"853",8567,100,100
"854",9170,NA,99.6672
"855",10262,NA,67.8467
"856",12568,NA,98.9749
"857",13812,NA,66.2003
"858",14677,100,100
"859",17686,NA,89.4991
"860",18666,NA,68.313
"861",21358,NA,91.2396
"862",21960,NA,70.3385
"863",22614,100,100
"864",23218,NA,93.8043
"865",24232,NA,75.8668
"866",24867,100,100
"867",25627,NA,99.5012
"868",26595,NA,98.9247
"869",27260,100,100
"870",28012,NA,83.3342
"871",28788,NA,99.8335
"872",29501,100,100
"873",30144,100,100
"874",31832,NA,99.7783
"875",32434,NA,90.5819
"876",33036,NA,99.1449
"877",33639,NA,96.1883
"878",18114,NA,67.5458
"879",19483,100,100
"880",21151,NA,98.4715
"881",21753,NA,89.4158
"882",22356,NA,94.008
"883",23265,NA,75.4104
"884",23867,NA,74.4881
"885",24469,NA,94.0745
"886",25084,NA,81.4774
"887",26604,NA,99.8335
"888",28849,NA,99.6672
"889",29548,NA,96.8345
"890",30149,NA,98.9285
"891",30759,NA,86.2967
"892",31362,NA,76.7417
"893",31973,NA,82.7267
"894",32953,NA,77.0125
"895",34090,NA,91.2915
"896",34691,NA,91.1614
"897",35295,NA,92.6041
"898",9881,NA,94.3638
"899",10743,100,100
"900",12122,NA,76.6591
"901",13803,100,100
"902",14405,NA,96.0446
"903",15988,NA,72.4861
"904",16843,100,100
"905",17481,NA,98.4673
"906",25747,NA,68.313
"907",27169,NA,84.5154
"908",27793,NA,96.2741
"909",28395,100,100
"910",29027,100,100
"911",29629,NA,85.7635
"912",30231,100,100
"913",9321,NA,99.8335
"914",9922,NA,97.0345
"915",10705,NA,98.9749
"916",11324,NA,93.3849
"917",12649,100,100
"918",13842,NA,99.1701
"919",14443,100,100
"920",15049,100,100
"921",15651,NA,87.7553
"922",16253,100,100
"923",22222,NA,99.5565
"924",22827,NA,74.6862
"925",31856,NA,99.7783
"926",32582,NA,85.9226
"927",35357,100,100
"928",7524,NA,95.0301
"929",10732,100,100
"930",11392,NA,99.6667
"931",12756,100,100
"932",13567,100,100
"933",14172,NA,99.6667
"934",14775,NA,99.6667
"935",15376,NA,93.7271
"936",18545,NA,92.7737
"937",20478,NA,70.7911
"938",21080,NA,72.4697
"939",21929,NA,68.3537
"940",22531,NA,83.1951
"941",23180,100,100
"942",23784,NA,80.953
"943",24588,NA,93.5846
"944",25429,100,100
"945",27910,NA,99.6667
"946",25110,NA,91.6768
"947",28337,NA,99.6667
"948",29018,NA,98.9247
"949",29912,NA,99.8128
"950",31462,NA,79.2351
"951",33592,NA,76.8851
"952",34194,NA,70.0532
"953",35506,NA,88.6092
"954",3037,NA,96.1586
"955",7797,NA,68.196
"956",9194,NA,99.8288
"957",9796,NA,83.23
"958",10509,NA,76.2317
"959",11604,NA,99.3147
"960",13662,NA,68.196
"961",14306,NA,99.8288
"962",14908,NA,86.4724
"963",15967,100,100
"964",17214,NA,80.4874
"965",17816,NA,81.0117
"966",18783,NA,92.6064
"967",20667,NA,84.0708
"968",21998,NA,99.486
"969",23090,NA,95.9014
"970",23691,NA,82.4497
"971",24308,NA,94.0697
"972",24910,NA,88.6459
"973",25526,100,100
"974",26960,NA,80.9782
"975",27728,NA,92.1732
"976",28331,NA,99.5001
"977",28932,100,100
"978",29534,100,100
"979",32730,NA,81.9905
"980",35705,NA,89.0942
"981",3270,NA,77.7062
"982",4206,NA,69.6659
"983",4807,NA,94.531
"984",5409,NA,98.9285
"985",6011,NA,91.0099
"986",6614,100,100
"987",11547,NA,98.8996
"988",13617,NA,92.5401
"989",15217,NA,94.9738
"990",16011,NA,97.9573
"991",17319,NA,73.9474
"992",18256,NA,99.438
"993",19024,NA,81.4604
"994",19626,100,100
"995",20228,NA,76.8015
"996",21223,NA,82.6061
"997",24391,NA,92.9345
"998",24994,NA,86.0705
"999",25597,NA,92.73
"1000",26199,100,100
"1001",26803,NA,99.6667
"1002",28916,100,100
"1003",29520,NA,99.3339
"1004",30121,NA,77.6516
"1005",30723,NA,89.0748
"1006",31325,NA,93.8418
"1007",33131,NA,98.3358
"1008",33732,NA,90.4863
"1009",34335,NA,91.5077
"1010",35093,NA,96.4701
"1011",35772,NA,97.4036
"1012",4686,NA,99.2546
"1013",6088,NA,76.1811
"1014",8797,100,100
"1015",9855,NA,78.6895
"1016",10646,NA,68.8925
"1017",11680,NA,68.313
"1018",12283,NA,67.5546
"1019",12885,NA,99.486
