"","fault","ClassPer"
"844",1,100
"845",4,97.2046
"846",4,88.9433
"847",4,98.8792
"848",3,95.8442
"849",3,97.8345
"850",6,74.7859
"851",4,76.1585
"852",6,85.8511
"853",5,100
"854",5,99.6672
"855",3,67.8467
"856",6,98.9749
"857",1,66.2003
"858",4,100
"859",6,89.4991
"860",1,68.313
"861",6,91.2396
"862",2,70.3385
"863",3,100
"864",4,93.8043
"865",1,75.8668
"866",3,100
"867",5,99.5012
"868",2,98.9247
"869",3,100
"870",4,83.3342
"871",4,99.8335
"872",3,100
"873",2,100
"874",1,99.7783
"875",3,90.5819
"876",3,99.1449
"877",3,96.1883
"878",2,67.5458
"879",2,100
"880",1,98.4715
"881",2,89.4158
"882",2,94.008
"883",6,75.4104
"884",6,74.4881
"885",6,94.0745
"886",2,81.4774
"887",4,99.8335
"888",5,99.6672
"889",5,96.8345
"890",2,98.9285
"891",2,86.2967
"892",4,76.7417
"893",3,82.7267
"894",4,77.0125
"895",4,91.2915
"896",2,91.1614
"897",2,92.6041
"898",3,94.3638
"899",6,100
"900",1,76.6591
"901",1,100
"902",3,96.0446
"903",2,72.4861
"904",4,100
"905",6,98.4673
"906",3,68.313
"907",1,84.5154
"908",1,96.2741
"909",6,100
"910",4,100
"911",2,85.7635
"912",3,100
"913",4,99.8335
"914",4,97.0345
"915",6,98.9749
"916",4,93.3849
"917",3,100
"918",5,99.1701
"919",3,100
"920",3,100
"921",3,87.7553
"922",3,100
"923",1,99.5565
"924",6,74.6862
"925",1,99.7783
"926",6,85.9226
"927",1,100
"928",6,95.0301
"929",6,100
"930",4,99.6667
"931",6,100
"932",6,100
"933",4,99.6667
"934",5,99.6667
"935",6,93.7271
"936",1,92.7737
"937",2,70.7911
"938",3,72.4697
"939",1,68.3537
"940",2,83.1951
"941",1,100
"942",4,80.953
"943",1,93.5846
"944",6,100
"945",4,99.6667
"946",1,91.6768
"947",4,99.6667
"948",2,98.9247
"949",4,99.8128
"950",4,79.2351
"951",6,76.8851
"952",2,70.0532
"953",4,88.6092
"954",6,96.1586
"955",1,68.196
"956",1,99.8288
"957",3,83.23
"958",1,76.2317
"959",6,99.3147
"960",3,68.196
"961",3,99.8288
"962",3,86.4724
"963",1,100
"964",3,80.4874
"965",2,81.0117
"966",6,92.6064
"967",1,84.0708
"968",6,99.486
"969",4,95.9014
"970",2,82.4497
"971",3,94.0697
"972",3,88.6459
"973",6,100
"974",2,80.9782
"975",5,92.1732
"976",4,99.5001
"977",3,100
"978",2,100
"979",3,81.9905
"980",1,89.0942
"981",2,77.7062
"982",4,69.6659
"983",2,94.531
"984",2,98.9285
"985",2,91.0099
"986",2,100
"987",1,98.8996
"988",4,92.5401
"989",4,94.9738
"990",4,97.9573
"991",6,73.9474
"992",4,99.438
"993",6,81.4604
"994",2,100
"995",3,76.8015
"996",6,82.6061
"997",6,92.9345
"998",2,86.0705
"999",2,92.73
"1000",2,100
"1001",4,99.6667
"1002",2,100
"1003",5,99.3339
"1004",3,77.6516
"1005",2,89.0748
"1006",3,93.8418
"1007",4,98.3358
"1008",2,90.4863
"1009",2,91.5077
"1010",6,96.4701
"1011",4,97.4036
"1012",4,99.2546
"1013",3,76.1811
"1014",6,100
"1015",6,78.6895
"1016",1,68.8925
"1017",3,68.313
"1018",2,67.5546
"1019",3,99.486
"1020",3,100
"1021",6,98.6409
"1022",2,100
"1023",6,92.8476
"1024",4,74.5443
"1025",3,100
"1026",2,70.1148
"1027",2,100
"1028",2,99.4633
"1029",1,84.5154
"1030",4,73.9852
"1031",2,99.4633
"1032",4,98.8771
"1033",3,99.8289
"1034",4,100
"1035",2,100
"1036",1,84.5154
"1037",3,100
"1038",4,99.8335
"1039",5,96.4993
"1040",3,95.8315
"1041",1,100
"1042",1,93.5482
"1043",1,70.3133
"1044",3,99.486
"1045",4,94.7946
"1046",1,98.6842
"1047",4,97.4308
"1048",4,99.8335
"1049",2,73.4104
"1050",3,97.4407
"1051",1,96.3436
"1052",1,89.1438
"1053",3,82.8099
"1054",6,97.963
"1055",3,92.3095
"1056",6,67.4684
"1057",1,99.5565
"1058",2,91.2278
"1059",4,97.8498
"1060",5,99.8335
"1061",6,95.0245
"1062",2,100
"1063",6,72.0325
"1064",6,100
"1065",6,88.3089
"1066",3,70.5777
"1067",2,77.4272
"1068",6,89.8113
"1069",3,66.0225
"1070",4,99.6667
"1071",4,99.8335
"1072",3,96.306
"1073",4,99.8335
"1074",3,100
